id,name,priority,who,time,status
T1000,Libero est esse earum,SHOULD,Joe,1,DONE
T1001,Magni beatae explicabo rem consequatur ipsa asperiores optio voluptatibus fugiat,COULD,Joe,10,TODO
T1002,Consectetur perspiciatis dolorum iusto,WISH,Mike,10,TODO
T1003,Quae reprehenderit veniam possimus eum eius,COULD,Natasha,1,DONE
T1004,Voluptate repudiandae voluptate numquam,SHOULD,Natasha,15,DONE
T1005,Quas non odio expedita rerum illo neque sapiente consectetur,WISH,Joe,2,DONE
T1006,Numquam alias natus,WISH,Joe,2,DONE
T1007,Qui laboriosam cum,WISH,Natasha,10,DONE
T1008,Accusantium doloribus,COULD,Joe,15,DONE
T1009,Reiciendis enim,WISH,Joe,10,DONE
T1010,Molestiae,COULD,Joe,10,TODO
T1011,Quis reiciendis minus quo ab sint veniam mollitia,WISH,Mike,2,TODO
T1012,Ipsam vitae aliquid,SHOULD,Joe,1,DONE
T1013,Tempora asperiores ullam quidem fugit cupiditate ea facere,WISH,Natasha,10,TODO
T1014,Dolores velit nulla,COULD,Joe,7,TODO
T1015,A ex quis,SHOULD,Mike,10,TODO
T1016,Maiores neque cum magni fugit ea asperiores reprehenderit tempora temporibus,SHOULD,Natasha,10,DONE
T1017,Voluptate ut quo consequatur accusamus quasi nesciunt omnis,COULD,Joe,15,DONE
T1018,Ea eos esse enim,MUST,Natasha,1,DONE
T1019,Ea dignissimos,WISH,Joe,10,TODO
T1020,Fuga distinctio id unde explicabo cupiditate ut adipisci exercitationem molestiae mollitia,COULD,Joe,7,DONE
T1021,Quasi vitae,COULD,Joe,15,DONE
T1022,Odit debitis ex ab fugit,MUST,Natasha,7,DONE
T1023,Aliquid ipsum distinctio labore,SHOULD,Natasha,2,DONE
T1024,Aut alias ratione quo incidunt eius molestias,COULD,Natasha,1,DONE
T1025,Totam at eaque cupiditate molestias rem,COULD,Joe,10,DONE
T1026,Quis id temporibus provident asperiores architecto repellendus voluptatem consequatur corrupti,MUST,Natasha,10,TODO
T1027,Minus odio eveniet quos dolorem dicta,SHOULD,Mike,2,DONE
T1028,Omnis est nostrum autem,SHOULD,Natasha,2,DONE
T1029,Iusto officiis inventore corrupti voluptates accusantium autem,SHOULD,Natasha,10,DONE
T1030,Ratione cupiditate error nostrum saepe,WISH,Joe,10,TODO
T1031,Quia minus ullam amet hic beatae,WISH,Joe,2,DONE
T1032,Hic pariatur nulla rerum at eum temporibus praesentium excepturi facilis,WISH,Natasha,1,TODO
T1033,Recusandae quibusdam a consectetur,WISH,Joe,10,TODO
T1034,Cum tempore,COULD,Natasha,2,DONE
T1035,Aperiam nihil ut,COULD,Joe,10,DONE
T1036,Vel accusantium corrupti,COULD,Natasha,15,DONE
T1037,Deserunt consectetur placeat impedit rem asperiores repellat at at,COULD,Joe,15,DONE
T1038,Facere assumenda ratione quasi a ipsa repellendus eligendi in,WISH,Natasha,10,DONE
T1039,Animi quis,MUST,Joe,10,DONE
T1040,Beatae,SHOULD,Mike,2,DONE
T1041,Nesciunt dolores ullam,SHOULD,Natasha,10,DONE
T1042,Reiciendis laborum voluptas non enim,WISH,Natasha,15,DONE
T1043,Cumque itaque repellendus rerum et,SHOULD,Natasha,2,DONE
T1044,Fugit necessitatibus pariatur iusto iusto ullam minus unde alias,COULD,Natasha,1,DONE
T1045,Magni voluptas architecto,SHOULD,Natasha,1,DONE
T1046,Id alias minima voluptatibus dolorum atque sed,COULD,Joe,10,DOING
T1047,Nulla eius illo,WISH,Natasha,15,TODO
T1048,Est enim impedit non repudiandae ab nesciunt in beatae,SHOULD,Mike,10,DONE
T1049,Officia aut culpa sequi architecto doloremque voluptate,MUST,Joe,10,DONE
T1050,Hic vero officia facere,MUST,Mike,15,DONE
T1051,Aliquid ullam iure,WISH,Mike,15,DONE
T1052,Sint amet quis deserunt,WISH,Natasha,10,DONE
T1053,Laboriosam aperiam impedit quae,MUST,Joe,1,TODO
T1054,Porro beatae dignissimos,WISH,Natasha,2,DONE
T1055,In facere velit consequuntur laudantium perferendis,COULD,Joe,3,TODO
T1056,Commodi molestiae aperiam non,COULD,Joe,10,DONE
T1057,Dolores dicta impedit debitis repudiandae,COULD,Natasha,10,TODO
T1058,Quaerat animi incidunt qui,WISH,Joe,1,TODO
T1059,Tempore repellat fuga ea,WISH,Mike,15,DOING
T1060,Dolore aut voluptate,COULD,Mike,2,DONE
T1061,Aut atque saepe tempore atque aut,SHOULD,Joe,1,DONE
T1062,Itaque veniam earum porro,WISH,Joe,15,DONE
T1063,Sequi facere beatae soluta dignissimos vel doloribus,COULD,Mike,10,TODO
T1064,Esse ipsa explicabo,SHOULD,Joe,10,DONE
T1065,Blanditiis molestiae reiciendis,MUST,Natasha,7,DONE
T1066,Eveniet sed id dolore deleniti dolor perferendis molestias,WISH,Joe,10,DONE
T1067,Id in blanditiis,COULD,Natasha,1,DONE
T1068,Neque cupiditate possimus debitis autem laborum,COULD,Joe,10,DONE
T1069,Minima ab numquam laudantium excepturi nobis facilis eius,COULD,Natasha,2,DOING
T1070,Dolorum numquam,SHOULD,Joe,1,DONE
T1071,Expedita iusto ipsa iste,COULD,Joe,15,DOING
T1072,Incidunt voluptatibus ratione est id,WISH,Natasha,1,TODO
T1073,Sed laboriosam laudantium molestias aliquid,WISH,Joe,10,DONE
T1074,Molestias vel minima pariatur rerum eius beatae,SHOULD,Joe,15,DONE
T1075,Ipsum eius officiis,MUST,Joe,2,DONE
T1076,Necessitatibus omnis dolore dolorem consectetur,COULD,Joe,15,TODO
T1077,Quae ut veritatis maiores ipsa dolorum,COULD,Joe,15,DONE
T1078,Id error assumenda,SHOULD,Joe,10,TODO
T1079,Officia sapiente explicabo minima ipsum mollitia sit esse,MUST,Joe,15,DONE
T1080,Velit quas voluptatum quia qui,COULD,Joe,7,DONE
T1081,Tenetur vero minus atque dicta,SHOULD,Mike,2,DOING
T1082,Rem quas libero a quos,SHOULD,Joe,10,DONE
T1083,Vero harum minus,WISH,Mike,2,DONE
T1084,Id repellendus perspiciatis,WISH,Mike,1,DOING
T1085,Nulla consequatur vitae hic ratione dolore molestiae,WISH,Natasha,15,DONE
T1086,Non explicabo eaque veritatis nostrum,WISH,Mike,10,DONE
T1087,Enim illum,SHOULD,Joe,7,DONE
T1088,Exercitationem accusamus placeat molestiae iure,COULD,Joe,1,DONE
T1089,Officia sequi perferendis optio temporibus,COULD,Mike,15,DONE
T1090,Quae illo,COULD,Mike,1,DONE
T1091,Modi molestiae iste tempore,SHOULD,Joe,1,DONE
T1092,Libero culpa praesentium error,MUST,Joe,10,DOING
T1093,Veritatis ratione illum debitis doloremque quae,COULD,Mike,1,TODO
T1094,Voluptatum repellendus deleniti velit necessitatibus,COULD,Mike,2,DOING
T1095,Maxime eos deleniti facere laudantium explicabo,COULD,Joe,1,DONE
T1096,Numquam repellendus eaque dolores consectetur sequi exercitationem,SHOULD,Natasha,15,DONE
T1097,Inventore labore deleniti,COULD,Mike,7,DONE
T1098,Excepturi fugit corrupti sint,WISH,Natasha,2,DONE
T1099,Saepe autem,WISH,Natasha,2,TODO
T1100,Aut tempora velit blanditiis a voluptate vel temporibus,COULD,Joe,15,DONE
T1101,Impedit recusandae natus perferendis dolore pariatur veniam,COULD,Joe,10,DONE
T1102,Error alias consequatur facilis error reiciendis cupiditate,WISH,Mike,10,DONE
T1103,Beatae modi magnam suscipit illum,COULD,Joe,2,DONE
T1104,Est voluptatem doloremque deserunt,COULD,Joe,1,DONE
T1105,Sunt laborum numquam vero occaecati,WISH,Natasha,15,DONE
T1106,Veritatis quisquam quam soluta molestiae,COULD,Natasha,10,DONE
T1107,Repellendus omnis ut expedita corporis,COULD,Joe,10,DONE
T1108,Ducimus sint dolores corrupti consequuntur,SHOULD,Mike,15,TODO
T1109,Suscipit deleniti,WISH,Joe,10,DONE
T1110,Ipsam corporis doloribus nulla,WISH,Joe,1,TODO
T1111,Voluptatem odio molestias in architecto,SHOULD,Natasha,10,DONE
T1112,Quibusdam harum vel quis at eum,COULD,Natasha,1,DONE
T1113,Amet qui nam aperiam,COULD,Joe,1,DONE
T1114,Repudiandae voluptatem,MUST,Mike,10,DONE
T1115,Perspiciatis,COULD,Joe,10,DONE
T1116,Necessitatibus minus excepturi voluptas explicabo,SHOULD,Joe,10,DOING
T1117,Et veniam,COULD,Joe,2,DOING
T1118,Placeat atque rerum sed,SHOULD,Natasha,1,DONE
T1119,Omnis voluptates ipsum,WISH,Mike,2,DONE
T1120,Ea unde excepturi sunt suscipit,WISH,Natasha,10,DONE
T1121,Incidunt minus non cupiditate ea sit ratione veniam,WISH,Mike,15,DONE
T1122,Quibusdam praesentium quibusdam sunt atque,MUST,Joe,1,DONE
T1123,Voluptate natus veniam,COULD,Mike,2,DONE
T1124,Quasi harum temporibus maiores,COULD,Natasha,2,DONE
T1125,Quasi exercitationem debitis optio voluptates enim vel impedit maiores,COULD,Joe,10,DONE
T1126,Placeat quas alias necessitatibus repellendus quis aperiam dicta totam fugiat optio,SHOULD,Mike,1,DONE
T1127,Quos officiis ex itaque dolorum,COULD,Joe,15,DOING
T1128,Suscipit vel nam voluptatum,COULD,Mike,1,DONE
